iter	MultiClass
0	1.694630988
1	1.621835921
2	1.541802584
3	1.47009775
4	1.412973888
5	1.364354242
6	1.31404266
7	1.266465482
8	1.226827544
9	1.184474915
10	1.144615215
11	1.111034146
12	1.079768846
13	1.049249529
14	1.020810426
15	0.9925561175
16	0.9681247805
17	0.9437912089
18	0.9213818295
19	0.8996430706
20	0.8809924323
21	0.861452559
22	0.8441901494
23	0.8268334497
24	0.8094421442
25	0.7938311873
26	0.7793295346
27	0.766014568
28	0.7526541733
29	0.7376725283
30	0.7265449504
31	0.7137333317
32	0.7027865298
33	0.6904345491
34	0.6783245446
35	0.6683759665
36	0.658672607
37	0.6486694399
38	0.6382265007
39	0.6290903884
40	0.6191511876
41	0.6099518506
42	0.6016628324
43	0.5935288668
44	0.5849946944
45	0.5798938263
46	0.5725515554
47	0.5651314923
48	0.55745333
49	0.5503978258
50	0.5446874843
51	0.5390019982
52	0.534815486
53	0.5295144698
54	0.5259365954
55	0.5206298862
56	0.515486924
57	0.5104596309
58	0.5053822564
59	0.5013698647
60	0.4970762775
61	0.4927058299
62	0.4863615825
63	0.4798181679
64	0.476418026
65	0.4730096651
66	0.4678915596
67	0.4635677108
68	0.4592186594
69	0.4552054735
70	0.4512481069
71	0.4474557479
72	0.4423905506
73	0.4383209889
74	0.4352419026
75	0.4308608724
76	0.4263730769
77	0.4219331966
78	0.4189776383
79	0.4161659644
80	0.413080305
81	0.4091570197
82	0.4068678039
83	0.403212808
84	0.4001283832
85	0.3966563902
86	0.3939539988
87	0.3917180981
88	0.3887610628
89	0.386341009
90	0.382691138
91	0.3800022569
92	0.3782603247
93	0.3758576049
94	0.3714165929
95	0.3696907681
96	0.3673930984
97	0.3652790152
98	0.3630993789
99	0.3606399419
100	0.3579002137
101	0.3542612414
102	0.3509948642
103	0.3486888833
104	0.3461304982
105	0.3432213755
106	0.3413066765
107	0.339715927
108	0.3371757176
109	0.3344820082
110	0.3309368086
111	0.3284212324
112	0.3263714996
113	0.3245302746
114	0.3228015573
115	0.3211321863
116	0.3186271819
117	0.317433807
118	0.3159608691
119	0.3134654957
120	0.3117167902
121	0.309864709
122	0.3076152384
123	0.3056384274
124	0.3034214786
125	0.30069607
126	0.2981519705
127	0.2959479428
128	0.2935314514
129	0.2923753252
130	0.2904930152
131	0.2887374893
132	0.2865282486
133	0.2849798152
134	0.2834816558
135	0.2815270726
136	0.2804433123
137	0.2790586082
138	0.2776164795
139	0.2760009405
140	0.2744305082
141	0.2724729567
142	0.2714653605
143	0.2699616021
144	0.2680888047
145	0.266464671
146	0.2648394399
147	0.2630277055
148	0.2614172079
149	0.2598533999
150	0.2587356861
151	0.2575238525
152	0.2560190408
153	0.2542586241
154	0.252731564
155	0.2515916113
156	0.2506333571
157	0.2495025678
158	0.2475110654
159	0.2459370164
160	0.2444268543
161	0.2430375014
162	0.2419572575
163	0.2409968279
164	0.2396282601
165	0.2390273011
166	0.2381180691
167	0.2373007689
168	0.2359004299
169	0.2339853756
170	0.2327374332
171	0.2321823518
172	0.2305942544
173	0.2298275244
174	0.2289527913
175	0.2274396727
176	0.2263145716
177	0.2252194837
178	0.2238872778
179	0.222658475
180	0.2213397714
181	0.2205009614
182	0.2193917594
183	0.218434386
184	0.2172275504
185	0.2163154745
186	0.2151608097
187	0.2140352673
188	0.2130753831
189	0.2118202807
190	0.2109573936
191	0.2090161229
192	0.2077512767
193	0.2064490546
194	0.2056055958
195	0.2045835807
196	0.2035728289
197	0.2030220154
198	0.2018448546
199	0.2011802715
200	0.1996556793
201	0.1984155024
202	0.1972456254
203	0.196324676
204	0.1951977981
205	0.1943394172
206	0.1929917275
207	0.1924384711
208	0.1917534787
209	0.1911127997
210	0.1901640566
211	0.1890113731
212	0.1877618519
213	0.1871974732
214	0.1863236573
215	0.1854874182
216	0.1844775585
217	0.1839136863
218	0.1828475944
219	0.1814953399
220	0.1808357155
221	0.1805609004
222	0.1800617466
223	0.1796375928
224	0.1788069986
225	0.1780490557
226	0.1772201501
227	0.1763450341
228	0.1756462711
229	0.1748574642
230	0.1744773997
231	0.1736070039
232	0.1730049377
233	0.17239341
234	0.1719537416
235	0.1711093843
236	0.1706733049
237	0.1699132014
238	0.1690308222
239	0.1681896603
240	0.1675485652
241	0.1669238088
242	0.1661358398
243	0.1653316716
244	0.1644092791
245	0.1638021253
246	0.1632532371
247	0.1623165231
248	0.1616682727
249	0.160864049
250	0.1602853335
251	0.1596112126
252	0.1589493879
253	0.1581134069
254	0.1574816806
255	0.15720038
256	0.1568504334
257	0.1561427897
258	0.1556670385
259	0.1551438045
260	0.1550286557
261	0.154639225
262	0.1542783818
263	0.1535364792
264	0.1528762261
265	0.1525408286
266	0.1519472012
267	0.1513578814
268	0.1508446792
269	0.150308199
270	0.1500744575
271	0.1496111747
272	0.1491205627
273	0.1487168889
274	0.148268977
275	0.1476840213
276	0.1472926724
277	0.1465259617
278	0.1461119778
279	0.1455215899
280	0.1449254681
281	0.1444448702
282	0.1441778957
283	0.143489954
284	0.1430542186
285	0.1425014394
286	0.1417985275
287	0.1413325383
288	0.1409241489
289	0.1405868538
290	0.1398700961
291	0.1393255398
292	0.1391392653
293	0.1387347006
294	0.1382617911
295	0.1377997247
296	0.1372697246
297	0.1369533923
298	0.136698604
299	0.1363123527
300	0.1359472081
301	0.1351970711
302	0.1345594925
303	0.1340427352
304	0.1336587539
305	0.1329850451
306	0.1325047026
307	0.1319972572
308	0.1316441695
309	0.1310261655
310	0.1307306283
311	0.13043998
312	0.1298886415
313	0.1294539386
314	0.1288702285
315	0.128104467
316	0.1276982361
317	0.127474255
318	0.1271666874
319	0.1267865741
320	0.1262789807
321	0.1259712266
322	0.1255271429
323	0.1252993412
324	0.1247544402
325	0.1241204331
326	0.1234621741
327	0.1230589606
328	0.1226656639
329	0.1224160537
330	0.1217885647
331	0.1216042446
332	0.1213565285
333	0.1207261175
334	0.1203771122
335	0.1201035968
336	0.1196329819
337	0.1193780057
338	0.1191105674
339	0.1188486439
340	0.1187084758
341	0.1183289782
342	0.1179880208
343	0.1177432839
344	0.1171460519
345	0.1166970791
346	0.1162043679
347	0.1157244114
348	0.1154771074
349	0.115151182
350	0.1148760723
351	0.1141685087
352	0.1139475909
353	0.1134710108
354	0.1132659862
355	0.1130830098
356	0.1127272311
357	0.1120958976
358	0.1116033454
359	0.1111877913
360	0.1106829565
361	0.1100331758
362	0.1095182414
363	0.1093116689
364	0.1088278305
365	0.1085785692
366	0.1083615041
367	0.1080764874
368	0.1076824511
369	0.1072518991
370	0.1068359876
371	0.1064364902
372	0.1063622748
373	0.1059822991
374	0.1057608218
375	0.1054731604
376	0.1052480409
377	0.1051675941
378	0.1048968002
379	0.1047580109
380	0.1045386034
381	0.1042860005
382	0.1038824795
383	0.103465875
384	0.103120253
385	0.1026221502
386	0.1023615744
387	0.1021556535
388	0.1019610624
389	0.101733675
390	0.1016182559
391	0.1013736259
392	0.1011031601
393	0.1010020502
394	0.1007710414
395	0.1006307415
396	0.1005082781
397	0.1002966402
398	0.1001338902
399	0.0999460587
400	0.09965342767
401	0.09926551205
402	0.09906555141
403	0.09884434205
404	0.09872855832
405	0.0984475883
406	0.09827614551
407	0.09799585184
408	0.09763942624
409	0.09730886589
410	0.09707129024
411	0.09685212025
412	0.09670362902
413	0.09642229326
414	0.09626968827
415	0.09585879979
416	0.09552658221
417	0.09510021118
418	0.09478052036
419	0.09440843379
420	0.09421253483
421	0.09408191734
422	0.09390418555
423	0.09369240871
424	0.09354242054
425	0.09309567081
426	0.0929019118
427	0.09286610668
428	0.09273567668
429	0.09228390431
430	0.0919196194
431	0.09166914359
432	0.091589372
433	0.09125933889
434	0.09089470235
435	0.09083429038
436	0.09061844363
437	0.09041729771
438	0.09029646883
439	0.09007677236
440	0.08982644073
441	0.08950484838
442	0.08905341854
443	0.0888450831
444	0.08859550516
445	0.08837457877
446	0.08827151291
447	0.08801965127
448	0.08784810091
449	0.0876511536
450	0.0875218162
451	0.08723554567
452	0.08705763492
453	0.08681512495
454	0.08653771856
455	0.08634055599
456	0.08606847508
457	0.0858196575
458	0.08567078992
459	0.08538685129
460	0.0851978165
461	0.08501474722
462	0.08477828064
463	0.08457815505
464	0.08439949928
465	0.08413924447
466	0.08398483591
467	0.08385377825
468	0.08364766903
469	0.08342886887
470	0.08326845275
471	0.0830993767
472	0.08291008988
473	0.08265526694
474	0.08252793133
475	0.08230064441
476	0.08208194011
477	0.08191013417
478	0.08170166802
479	0.08143660231
480	0.08131640942
481	0.08108241065
482	0.08083353922
483	0.08068217461
484	0.0804765078
485	0.08020350296
486	0.0798801209
487	0.07979228456
488	0.07955796347
489	0.07939771387
490	0.07923678042
491	0.07906562449
492	0.07889693783
493	0.0786497731
494	0.0784723296
495	0.07828308839
496	0.07791400594
497	0.07777097928
498	0.07747481258
499	0.07725636133
500	0.07700750436
501	0.07674204961
502	0.07662677467
503	0.07646183243
504	0.07631126396
505	0.07621462294
506	0.0759570572
507	0.07584155186
508	0.07563741426
509	0.07531937583
510	0.07519982101
511	0.07508059045
512	0.07499920625
513	0.07489239068
514	0.07466003213
515	0.07452356169
516	0.0743955222
517	0.07420136457
518	0.07405938054
519	0.07387548862
520	0.07379645314
521	0.07370359905
522	0.07349036823
523	0.07324211833
524	0.07316467984
525	0.07307978758
526	0.07283109822
527	0.07267757665
528	0.07253816494
529	0.07241831998
530	0.07235273419
531	0.07220667508
532	0.07193918336
533	0.07181827732
534	0.07163034032
535	0.07158708724
536	0.07145949956
