iter	Passed	Remaining
0	10	21862
1	20	20006
2	29	19468
3	39	19720
4	47	19001
5	56	18764
6	64	18428
7	73	18248
8	81	18081
9	89	17894
10	96	17536
11	105	17492
12	113	17395
13	122	17317
14	130	17243
15	137	17101
16	144	16891
17	152	16786
18	159	16665
19	167	16578
20	176	16607
21	183	16541
22	190	16410
23	197	16301
24	207	16429
25	216	16410
26	225	16494
27	233	16466
28	243	16539
29	252	16583
30	262	16647
31	270	16620
32	280	16727
33	290	16808
34	298	16786
35	308	16843
36	316	16809
37	326	16856
38	335	16893
39	346	16968
40	355	16977
41	363	16932
42	371	16905
43	381	16940
44	388	16856
45	395	16795
46	404	16806
47	411	16742
48	419	16691
49	426	16646
50	434	16606
51	442	16581
52	452	16636
53	463	16687
54	472	16713
55	483	16793
56	493	16822
57	502	16829
58	513	16889
59	520	16842
60	531	16899
61	539	16862
62	549	16902
63	557	16852
64	567	16880
65	574	16848
66	585	16881
67	593	16864
68	602	16853
69	609	16798
70	616	16757
71	625	16743
72	632	16704
73	639	16656
74	648	16637
75	656	16608
76	663	16563
77	671	16535
78	680	16545
79	688	16521
80	697	16524
81	706	16520
82	715	16518
83	722	16485
84	730	16448
85	737	16419
86	745	16391
87	752	16351
88	760	16333
89	770	16359
90	783	16432
91	792	16439
92	800	16418
93	808	16393
94	817	16392
95	824	16361
96	834	16375
97	842	16346
98	851	16347
99	858	16314
100	866	16283
101	877	16323
102	891	16411
103	901	16438
104	910	16439
105	920	16449
106	932	16502
107	943	16520
108	951	16505
109	962	16536
110	978	16655
111	996	16802
112	1010	16870
113	1021	16895
114	1031	16899
115	1039	16882
116	1047	16861
117	1057	16864
118	1081	17100
119	1101	17253
120	1111	17252
121	1121	17257
122	1130	17255
123	1138	17225
124	1146	17204
125	1154	17177
126	1163	17162
127	1171	17132
128	1179	17103
129	1188	17092
130	1195	17063
131	1203	17031
132	1212	17020
133	1221	17003
134	1232	17033
135	1246	17082
136	1255	17073
137	1265	17069
138	1272	17033
139	1280	17011
140	1289	17001
141	1297	16978
142	1304	16940
143	1312	16919
144	1320	16897
145	1328	16864
146	1336	16849
147	1343	16817
148	1351	16784
149	1358	16755
150	1367	16743
151	1374	16711
152	1382	16684
153	1389	16657
154	1397	16637
155	1405	16609
156	1412	16577
157	1421	16575
158	1429	16549
159	1444	16610
160	1452	16596
161	1467	16653
162	1476	16640
163	1486	16641
164	1496	16638
165	1504	16625
166	1512	16600
167	1519	16574
168	1527	16554
169	1535	16532
170	1543	16506
171	1550	16482
172	1558	16462
173	1566	16436
174	1574	16415
175	1582	16401
176	1590	16376
177	1597	16351
178	1604	16324
179	1614	16325
180	1622	16307
181	1630	16291
182	1637	16263
183	1645	16238
184	1654	16232
185	1662	16214
186	1670	16196
187	1678	16176
188	1685	16150
189	1693	16132
190	1701	16118
191	1709	16094
192	1716	16071
193	1724	16055
194	1733	16044
195	1740	16022
196	1748	16006
197	1757	15992
198	1764	15969
199	1772	15950
200	1780	15933
201	1787	15906
202	1794	15886
203	1802	15868
204	1810	15853
205	1819	15845
206	1827	15829
207	1835	15809
208	1842	15786
209	1851	15780
210	1858	15756
211	1865	15733
212	1872	15709
213	1880	15697
214	1888	15680
215	1896	15664
216	1904	15648
217	1912	15633
218	1920	15614
219	1928	15605
220	1935	15583
221	1943	15565
222	1951	15551
223	1959	15537
224	1966	15516
225	1973	15494
226	1982	15482
227	1989	15462
228	1996	15438
229	2004	15425
230	2013	15421
231	2020	15400
232	2028	15381
233	2036	15370
234	2044	15351
235	2051	15335
236	2059	15321
237	2067	15304
238	2074	15284
239	2081	15264
240	2090	15255
241	2097	15239
242	2104	15219
243	2112	15205
244	2120	15188
245	2127	15171
246	2135	15153
247	2144	15148
248	2151	15128
249	2158	15112
250	2168	15109
251	2175	15092
252	2183	15078
253	2192	15070
254	2202	15071
255	2214	15084
256	2224	15086
257	2237	15104
258	2246	15103
259	2254	15089
260	2264	15085
261	2271	15070
262	2281	15069
263	2288	15051
264	2296	15033
265	2304	15020
266	2311	15005
267	2318	14985
268	2326	14967
269	2334	14955
270	2342	14945
271	2350	14930
272	2359	14926
273	2367	14915
274	2377	14915
275	2386	14906
276	2396	14907
277	2409	14922
278	2418	14916
279	2428	14918
280	2438	14917
281	2448	14915
282	2456	14905
283	2466	14900
284	2475	14893
285	2484	14888
286	2492	14876
287	2501	14871
288	2511	14869
289	2521	14869
290	2530	14858
291	2538	14850
292	2546	14833
293	2553	14816
294	2562	14807
295	2569	14791
296	2577	14777
297	2585	14769
298	2593	14756
299	2604	14756
300	2611	14743
301	2619	14727
302	2628	14721
303	2637	14711
304	2646	14707
305	2654	14696
306	2666	14702
307	2675	14699
308	2684	14692
309	2694	14691
310	2705	14692
311	2715	14693
312	2730	14717
313	2740	14712
314	2748	14702
315	2757	14695
316	2767	14693
317	2776	14684
318	2785	14679
319	2798	14691
320	2808	14687
321	2815	14672
322	2822	14656
323	2831	14647
324	2838	14631
325	2846	14617
326	2854	14603
327	2862	14589
328	2869	14574
329	2876	14557
330	2885	14548
331	2892	14533
332	2900	14518
333	2908	14505
334	2916	14494
335	2923	14480
336	2932	14469
337	2940	14457
338	2947	14441
339	2955	14429
340	2963	14417
341	2971	14406
342	2978	14389
343	2986	14377
344	2994	14363
345	3001	14348
346	3009	14338
347	3017	14323
348	3024	14306
349	3031	14290
350	3038	14275
351	3046	14263
352	3054	14250
353	3061	14234
354	3068	14217
355	3076	14209
356	3083	14192
357	3091	14177
358	3099	14165
359	3106	14152
360	3113	14136
361	3121	14123
362	3128	14110
363	3136	14095
364	3143	14079
365	3150	14064
366	3157	14049
367	3165	14039
368	3173	14027
369	3180	14010
370	3189	14006
371	3197	13994
372	3206	13987
373	3215	13977
374	3223	13969
375	3232	13963
376	3241	13954
377	3250	13948
378	3258	13936
379	3267	13931
380	3275	13920
381	3285	13916
382	3293	13905
383	3301	13895
384	3310	13886
385	3318	13875
386	3326	13866
387	3334	13855
388	3342	13843
389	3352	13838
390	3360	13828
391	3369	13821
392	3377	13810
393	3385	13801
394	3395	13795
395	3402	13781
396	3411	13776
397	3421	13770
398	3429	13761
399	3438	13754
400	3448	13749
401	3455	13737
402	3464	13729
403	3473	13721
404	3481	13712
405	3489	13698
406	3496	13685
407	3505	13679
408	3514	13672
409	3523	13664
410	3531	13654
411	3540	13645
412	3549	13639
413	3558	13630
414	3568	13629
415	3578	13624
416	3589	13625
417	3599	13622
418	3609	13619
419	3619	13614
420	3627	13604
421	3638	13604
422	3647	13596
423	3656	13591
424	3665	13584
425	3674	13576
426	3682	13564
427	3690	13553
428	3698	13542
429	3705	13529
430	3713	13517
431	3721	13506
432	3728	13493
433	3735	13479
434	3744	13470
435	3752	13459
436	3759	13446
437	3767	13436
438	3775	13424
439	3782	13410
440	3789	13398
441	3798	13389
442	3805	13375
443	3813	13362
444	3820	13349
445	3829	13341
446	3835	13326
447	3842	13312
448	3850	13299
449	3857	13288
450	3865	13275
451	3872	13261
452	3879	13248
453	3887	13236
454	3894	13225
455	3918	13267
456	3925	13253
457	3933	13241
458	3940	13229
459	3948	13218
460	3955	13205
461	3962	13190
462	3969	13177
463	3978	13168
464	3985	13157
465	3993	13145
466	4001	13134
467	4008	13121
468	4016	13110
469	4024	13102
470	4032	13089
471	4039	13075
472	4047	13065
473	4054	13054
474	4062	13042
475	4069	13028
476	4077	13020
477	4086	13010
478	4094	13000
479	4103	12994
480	4111	12985
481	4121	12980
482	4130	12972
483	4139	12966
484	4148	12958
485	4157	12950
486	4166	12945
487	4176	12939
488	4184	12928
489	4193	12924
490	4203	12919
491	4213	12914
492	4224	12913
493	4233	12905
494	4242	12898
495	4251	12892
496	4259	12882
497	4267	12870
498	4275	12861
499	4283	12849
500	4290	12837
501	4299	12828
502	4306	12815
503	4313	12802
504	4320	12790
505	4328	12779
506	4335	12767
507	4343	12755
508	4350	12742
509	4357	12731
510	4364	12719
511	4374	12712
512	4382	12702
513	4389	12690
514	4396	12678
515	4404	12668
516	4412	12656
517	4419	12645
518	4427	12633
519	4434	12622
520	4442	12610
521	4449	12598
522	4457	12587
523	4464	12576
524	4472	12565
525	4479	12553
526	4486	12540
527	4495	12532
528	4502	12519
529	4509	12508
530	4516	12495
531	4524	12484
532	4532	12474
533	4540	12464
534	4548	12453
535	4555	12442
536	4562	12430
537	4569	12418
538	4577	12407
539	4585	12399
540	4593	12386
541	4599	12373
542	4608	12365
543	4616	12355
544	4623	12343
545	4630	12330
546	4638	12321
547	4645	12309
548	4653	12299
549	4660	12287
550	4668	12278
551	4675	12265
552	4683	12254
553	4691	12245
554	4699	12234
555	4706	12222
556	4713	12210
557	4721	12201
558	4728	12190
559	4736	12178
560	4743	12166
561	4750	12155
562	4758	12146
563	4767	12138
564	4775	12129
565	4783	12119
566	4790	12106
567	4798	12096
568	4805	12085
569	4813	12075
570	4821	12067
571	4829	12056
572	4836	12044
573	4845	12037
574	4852	12026
575	4860	12015
576	4868	12005
577	4875	11994
578	4882	11982
579	4889	11971
580	4898	11963
581	4905	11952
582	4913	11941
583	4920	11929
584	4928	11921
585	4938	11915
586	4947	11910
587	4955	11900
588	4966	11896
589	4973	11886
590	4982	11878
591	4990	11868
592	4997	11857
593	5006	11850
594	5014	11840
595	5021	11829
596	5030	11823
597	5039	11815
598	5050	11811
599	5059	11804
600	5067	11796
601	5075	11786
602	5084	11780
603	5093	11771
604	5101	11762
605	5109	11752
606	5116	11741
607	5124	11732
608	5132	11723
609	5139	11711
610	5147	11701
611	5157	11697
612	5165	11688
613	5175	11682
614	5183	11672
615	5191	11664
616	5199	11655
617	5208	11647
618	5216	11638
619	5224	11628
620	5232	11620
621	5240	11610
622	5248	11600
623	5258	11594
624	5265	11584
625	5273	11574
626	5283	11568
627	5290	11557
628	5299	11550
629	5306	11539
630	5314	11529
631	5323	11521
632	5331	11513
633	5340	11506
634	5348	11497
635	5356	11488
636	5366	11482
637	5374	11473
638	5383	11466
639	5391	11457
640	5401	11451
641	5409	11443
642	5417	11434
643	5426	11425
644	5434	11417
645	5443	11410
646	5451	11400
647	5459	11391
648	5467	11382
649	5475	11371
650	5483	11363
651	5491	11354
652	5498	11343
653	5506	11331
654	5514	11324
655	5522	11314
656	5529	11303
657	5539	11298
658	5547	11288
659	5554	11276
660	5563	11269
661	5570	11258
662	5578	11248
663	5587	11241
664	5594	11231
665	5602	11221
666	5610	11213
667	5617	11201
668	5624	11190
669	5632	11181
670	5640	11172
671	5647	11161
672	5654	11150
673	5662	11140
674	5670	11130
675	5677	11119
676	5684	11109
677	5692	11100
678	5699	11089
679	5707	11079
680	5714	11068
681	5723	11060
682	5730	11050
683	5738	11039
684	5745	11029
685	5753	11020
686	5760	11009
687	5767	10998
688	5774	10987
689	5784	10982
690	5793	10974
691	5801	10966
692	5810	10957
693	5820	10952
694	5829	10945
695	5838	10939
696	5848	10933
697	5856	10924
698	5864	10915
699	5874	10909
700	5882	10900
701	5891	10893
702	5898	10882
703	5906	10872
704	5915	10865
705	5922	10855
706	5930	10846
707	5938	10837
708	5946	10828
709	5957	10823
710	5964	10813
711	5973	10806
712	5982	10799
713	5992	10792
714	6000	10783
715	6007	10773
716	6017	10767
717	6025	10758
718	6035	10752
719	6045	10747
720	6054	10740
721	6066	10737
722	6073	10727
723	6083	10720
724	6090	10711
725	6101	10706
726	6109	10698
727	6118	10690
728	6126	10680
729	6134	10672
730	6143	10664
731	6151	10656
732	6161	10649
733	6168	10639
734	6177	10632
735	6185	10622
736	6203	10630
737	6210	10620
738	6220	10614
